Production Line,Machine ID,Shift,Date,Units Produced,Defect Rate,Downtime Minutes
Line A,M-102,Afternoon,2023-08-24,493,4.52,13
Line A,M-101,Morning,2023-08-24,192,1.89,88
Line D,M-104,Morning,2023-08-24,223,3.01,25
Line C,M-101,Afternoon,2023-08-24,525,2.64,45
Line D,M-103,Morning,2023-08-25,432,3.13,34
Line D,M-105,Afternoon,2023-08-25,455,0.57,20
Line A,M-106,Morning,2023-08-25,239,1.93,15
Line B,M-105,Morning,2023-08-25,387,1.02,7
Line B,M-101,Night,2023-08-25,417,4.53,89
Line C,M-100,Morning,2023-08-25,142,0.93,74
Line A,M-107,Morning,2023-08-26,204,3.65,53
Line B,M-104,Afternoon,2023-08-26,382,3.47,67
Line B,M-102,Morning,2023-08-26,426,2.43,39
Line C,M-100,Morning,2023-08-26,386,0.0,47
Line A,M-102,Night,2023-08-26,539,0.98,44
Line B,M-103,Night,2023-08-26,203,4.14,11
Line C,M-102,Afternoon,2023-08-27,174,1.56,59
Line D,M-105,Morning,2023-08-27,393,2.87,23
Line A,M-101,Afternoon,2023-08-27,249,0.0,44
Line C,M-105,Morning,2023-08-27,286,3.31,76
Line D,M-103,Night,2023-08-27,81,1.24,77
Line D,M-101,Night,2023-08-27,150,2.33,58
Line A,M-101,Afternoon,2023-08-28,575,3.98,63
Line D,M-100,Morning,2023-08-28,362,1.81,47
Line A,M-105,Afternoon,2023-08-28,150,1.0,29
Line A,M-103,Night,2023-08-28,343,1.99,88
Line C,M-100,Morning,2023-08-28,157,3.87,28
Line D,M-107,Night,2023-08-28,326,5.09,5
Line B,M-106,Morning,2023-08-29,155,2.92,66
Line A,M-105,Afternoon,2023-08-29,104,5.68,5
Line D,M-100,Night,2023-08-29,147,2.89,76
Line C,M-107,Morning,2023-08-29,377,1.81,44
Line D,M-103,Morning,2023-08-29,220,1.76,59
Line A,M-106,Night,2023-08-29,508,0.0,54
Line C,M-100,Afternoon,2023-08-30,117,4.03,51
Line D,M-106,Morning,2023-08-30,198,0.69,61
Line D,M-106,Night,2023-08-30,569,3.02,66
Line C,M-100,Afternoon,2023-08-30,417,3.44,27
Line C,M-100,Afternoon,2023-08-30,369,2.37,35
Line D,M-105,Afternoon,2023-08-30,309,3.17,40
Line B,M-103,Morning,2023-08-31,289,4.71,73
Line C,M-106,Morning,2023-08-31,357,4.36,41
Line D,M-102,Morning,2023-08-31,301,0.97,84
Line D,M-106,Morning,2023-08-31,122,1.0,86
Line A,M-105,Morning,2023-08-31,490,3.27,24
Line C,M-103,Afternoon,2023-08-31,170,1.21,44
Line C,M-103,Afternoon,2023-09-01,393,2.57,43
Line C,M-101,Morning,2023-09-01,136,1.94,53
Line C,M-101,Morning,2023-09-01,572,2.9,44
Line B,M-105,Afternoon,2023-09-01,198,0.5,40
Line C,M-107,Afternoon,2023-09-01,573,2.47,66
Line A,M-106,Morning,2023-09-01,220,2.02,78
Line B,M-103,Night,2023-09-02,391,1.25,77
Line C,M-106,Afternoon,2023-09-02,509,1.89,21
Line A,M-104,Night,2023-09-02,479,2.18,53
Line A,M-102,Night,2023-09-02,392,4.17,44
Line B,M-105,Afternoon,2023-09-02,359,1.75,21
Line D,M-106,Night,2023-09-02,245,3.31,77
Line B,M-105,Morning,2023-09-03,209,5.45,38
Line A,M-101,Morning,2023-09-03,473,3.64,4
Line D,M-106,Night,2023-09-03,508,2.83,47
Line B,M-101,Afternoon,2023-09-03,280,2.01,89
Line B,M-104,Morning,2023-09-03,438,1.59,33
Line B,M-107,Night,2023-09-03,531,0.69,58
Line A,M-104,Afternoon,2023-09-04,309,0.0,74
Line C,M-103,Night,2023-09-04,338,1.67,32
Line B,M-103,Night,2023-09-04,479,1.74,42
Line B,M-100,Morning,2023-09-04,196,2.92,0
Line C,M-100,Night,2023-09-04,317,3.34,16
Line B,M-104,Afternoon,2023-09-04,545,3.28,8
Line B,M-100,Night,2023-09-05,572,3.3,48
Line B,M-105,Afternoon,2023-09-05,91,5.52,72
Line D,M-103,Morning,2023-09-05,124,3.86,0
Line A,M-100,Morning,2023-09-05,202,0.11,89
Line C,M-107,Morning,2023-09-05,149,0.0,50
Line B,M-105,Afternoon,2023-09-05,501,4.02,80
Line C,M-106,Night,2023-09-06,191,0.92,70
Line C,M-102,Afternoon,2023-09-06,533,1.42,0
Line D,M-103,Night,2023-09-06,496,4.79,79
Line D,M-104,Night,2023-09-06,169,0.5,40
Line D,M-102,Afternoon,2023-09-06,451,0.23,3
Line B,M-105,Afternoon,2023-09-06,325,0.0,52
Line A,M-106,Afternoon,2023-09-07,389,4.67,0
Line D,M-101,Afternoon,2023-09-07,253,0.0,36
Line D,M-105,Night,2023-09-07,463,0.0,1
Line D,M-101,Morning,2023-09-07,95,2.87,16
Line D,M-105,Afternoon,2023-09-07,163,2.72,76
Line C,M-104,Afternoon,2023-09-07,217,0.96,58
Line B,M-104,Night,2023-09-08,113,3.41,58
Line B,M-104,Morning,2023-09-08,241,5.36,5
Line D,M-103,Afternoon,2023-09-08,264,0.35,30
Line D,M-104,Morning,2023-09-08,111,3.44,75
Line B,M-101,Afternoon,2023-09-08,492,0.0,24
Line C,M-101,Morning,2023-09-08,410,6.62,77
Line B,M-107,Morning,2023-09-09,121,1.59,84
Line B,M-101,Morning,2023-09-09,456,0.0,23
Line A,M-103,Night,2023-09-09,195,1.8,24
Line A,M-102,Morning,2023-09-09,293,1.64,83
Line D,M-104,Night,2023-09-09,448,3.18,70
Line C,M-104,Morning,2023-09-09,263,1.78,81
Line D,M-103,Night,2023-09-10,322,2.59,40
Line D,M-100,Night,2023-09-10,450,4.45,7
Line C,M-106,Night,2023-09-10,200,3.37,61
Line B,M-101,Afternoon,2023-09-10,341,0.81,26
Line A,M-107,Morning,2023-09-10,166,1.85,57
Line C,M-103,Morning,2023-09-10,594,6.61,19
Line D,M-104,Night,2023-09-11,133,6.6,68
Line A,M-107,Morning,2023-09-11,470,1.08,48
Line A,M-100,Morning,2023-09-11,218,1.7,38
Line A,M-103,Afternoon,2023-09-11,275,4.05,53
Line B,M-103,Afternoon,2023-09-11,341,3.42,74
Line D,M-101,Morning,2023-09-11,88,3.14,56
Line C,M-102,Morning,2023-09-12,581,0.01,20
Line A,M-102,Afternoon,2023-09-12,281,0.0,21
Line D,M-103,Morning,2023-09-12,593,1.97,70
Line B,M-103,Morning,2023-09-12,119,5.22,41
Line A,M-106,Afternoon,2023-09-12,313,0.0,74
Line B,M-103,Morning,2023-09-12,596,6.08,13
Line A,M-103,Morning,2023-09-13,455,2.14,20
Line C,M-106,Morning,2023-09-13,210,1.28,79
Line A,M-104,Afternoon,2023-09-13,402,3.65,87
Line B,M-107,Afternoon,2023-09-13,340,5.91,50
Line B,M-106,Morning,2023-09-13,164,4.98,62
Line B,M-100,Morning,2023-09-13,103,5.26,9
Line B,M-103,Night,2023-09-14,340,3.16,84
Line A,M-106,Night,2023-09-14,131,4.04,72
Line C,M-100,Morning,2023-09-14,325,2.05,21
Line A,M-100,Morning,2023-09-14,358,2.05,39
Line A,M-106,Night,2023-09-14,556,5.45,77
Line D,M-107,Morning,2023-09-14,367,3.26,81
Line A,M-100,Night,2023-09-15,190,5.03,63
Line A,M-102,Night,2023-09-15,568,5.74,6
Line B,M-101,Afternoon,2023-09-15,514,3.13,85
Line C,M-106,Morning,2023-09-15,236,2.74,17
Line D,M-100,Night,2023-09-15,517,2.99,72
Line D,M-105,Afternoon,2023-09-15,326,0.4,39
Line C,M-101,Afternoon,2023-09-16,577,0.45,22
Line A,M-101,Morning,2023-09-16,188,3.03,81
Line D,M-106,Afternoon,2023-09-16,437,4.88,76
Line C,M-105,Afternoon,2023-09-16,564,0.0,65
Line C,M-101,Morning,2023-09-16,392,0.55,12
Line D,M-106,Afternoon,2023-09-16,255,1.41,64
Line C,M-102,Morning,2023-09-17,392,3.41,33
Line D,M-107,Night,2023-09-17,112,3.17,35
Line B,M-100,Night,2023-09-17,120,4.39,77
Line A,M-101,Morning,2023-09-17,81,4.17,80
Line A,M-100,Morning,2023-09-17,141,3.97,3
Line B,M-105,Night,2023-09-17,422,2.43,25
Line C,M-106,Afternoon,2023-09-18,507,1.36,48
Line D,M-100,Morning,2023-09-18,491,2.73,21
Line B,M-102,Morning,2023-09-18,472,3.25,39
Line B,M-106,Afternoon,2023-09-18,345,4.18,59
Line D,M-107,Morning,2023-09-18,216,2.94,4
Line C,M-104,Night,2023-09-18,428,2.11,17
Line A,M-100,Morning,2023-09-19,401,1.24,41
Line A,M-102,Afternoon,2023-09-19,438,1.95,58
Line B,M-107,Afternoon,2023-09-19,134,1.8,41
Line B,M-107,Afternoon,2023-09-19,399,1.01,29
Line A,M-100,Night,2023-09-19,191,1.83,34
Line B,M-106,Night,2023-09-19,524,3.47,86
Line D,M-104,Night,2023-09-20,82,1.89,58
Line A,M-105,Morning,2023-09-20,274,0.0,43
Line A,M-103,Night,2023-09-20,589,2.78,79
Line B,M-106,Night,2023-09-20,315,0.44,39
Line B,M-107,Morning,2023-09-20,437,2.53,80
Line B,M-102,Night,2023-09-20,479,3.56,19
Line A,M-102,Night,2023-09-21,104,0.24,29
Line B,M-107,Afternoon,2023-09-21,342,3.96,13
Line C,M-107,Night,2023-09-21,249,0.0,73
Line C,M-103,Night,2023-09-21,426,4.91,71
Line A,M-101,Morning,2023-09-21,182,3.59,76
Line C,M-106,Afternoon,2023-09-21,405,0.13,40
Line D,M-103,Morning,2023-09-22,268,4.54,77
Line D,M-103,Morning,2023-09-22,350,2.91,26
Line A,M-105,Afternoon,2023-09-22,294,4.17,3
Line B,M-104,Afternoon,2023-09-22,342,0.0,64
Line C,M-101,Morning,2023-09-22,293,4.75,75
Line D,M-103,Afternoon,2023-09-22,165,1.64,66
Line D,M-101,Afternoon,2023-09-23,405,5.25,13
Line D,M-107,Night,2023-09-23,502,3.59,88
Line B,M-104,Morning,2023-09-23,428,2.83,23
Line A,M-100,Afternoon,2023-09-23,370,4.1,88
Line C,M-105,Morning,2023-09-23,352,2.2,63
Line B,M-102,Afternoon,2023-09-23,165,3.96,47
Line C,M-107,Morning,2023-09-24,462,0.0,55
Line C,M-105,Night,2023-09-24,99,2.35,3
Line C,M-104,Night,2023-09-24,496,2.21,84
Line A,M-105,Night,2023-09-24,124,1.98,69
Line C,M-103,Night,2023-09-24,557,1.87,9
Line D,M-103,Afternoon,2023-09-24,557,2.72,22
Line D,M-106,Night,2023-09-25,345,1.78,22
Line D,M-105,Morning,2023-09-25,80,0.0,38
Line D,M-107,Night,2023-09-25,244,1.9,75
Line B,M-107,Morning,2023-09-25,261,3.58,49
Line C,M-101,Morning,2023-09-25,93,1.84,68
Line A,M-101,Morning,2023-09-25,479,1.39,57
Line B,M-105,Night,2023-09-26,451,1.48,67
Line C,M-107,Afternoon,2023-09-26,256,2.95,41
Line B,M-106,Afternoon,2023-09-26,111,3.48,79
Line B,M-103,Night,2023-09-26,252,0.72,80
Line C,M-101,Morning,2023-09-26,227,0.0,4
Line D,M-104,Morning,2023-09-26,576,1.19,8
Line B,M-101,Morning,2023-09-27,161,5.2,20
Line A,M-104,Morning,2023-09-27,419,0.4,22
Line B,M-105,Morning,2023-09-27,95,1.23,77
Line A,M-100,Night,2023-09-27,361,1.64,68
Line B,M-106,Morning,2023-09-27,101,0.95,32
Line D,M-100,Morning,2023-09-27,297,1.32,21
Line C,M-106,Morning,2023-09-28,102,1.39,68
Line D,M-102,Morning,2023-09-28,522,0.93,88
Line A,M-101,Morning,2023-09-28,430,2.16,48
Line B,M-100,Night,2023-09-28,324,1.47,39
Line A,M-102,Night,2023-09-28,178,2.9,72
Line C,M-106,Morning,2023-09-28,348,3.07,35
Line B,M-103,Morning,2023-09-29,520,0.0,49
Line B,M-100,Afternoon,2023-09-29,266,1.52,2
Line B,M-101,Afternoon,2023-09-29,167,3.59,81
Line B,M-103,Morning,2023-09-29,164,1.09,26
Line D,M-101,Afternoon,2023-09-29,162,1.61,82
Line B,M-104,Night,2023-09-29,515,1.43,27
Line A,M-104,Morning,2023-09-30,508,3.32,20
Line D,M-103,Afternoon,2023-09-30,528,0.86,73
Line B,M-101,Afternoon,2023-09-30,493,4.85,18
Line B,M-104,Afternoon,2023-09-30,490,0.33,59
Line C,M-103,Afternoon,2023-09-30,593,3.42,69
Line B,M-101,Morning,2023-09-30,376,0.0,78
Line A,M-102,Afternoon,2023-10-01,543,3.14,0
Line C,M-103,Afternoon,2023-10-01,454,1.62,75
Line D,M-102,Afternoon,2023-10-01,468,5.02,47
Line A,M-103,Morning,2023-10-01,356,2.22,53
Line B,M-105,Morning,2023-10-01,471,2.96,17
Line A,M-107,Night,2023-10-01,341,3.46,34
Line A,M-105,Afternoon,2023-10-02,558,1.0,40
Line B,M-103,Morning,2023-10-02,367,2.72,14
Line B,M-101,Night,2023-10-02,480,5.0,70
Line D,M-106,Morning,2023-10-02,410,1.57,35
Line B,M-101,Night,2023-10-02,528,0.34,20
Line B,M-100,Morning,2023-10-02,407,5.6,1
Line D,M-106,Night,2023-10-03,569,0.58,52
Line D,M-106,Morning,2023-10-03,152,2.05,27
Line B,M-103,Night,2023-10-03,419,5.38,17
Line A,M-100,Morning,2023-10-03,518,0.37,5
Line C,M-107,Morning,2023-10-03,470,1.73,3
Line C,M-100,Morning,2023-10-03,432,2.98,67
Line D,M-103,Afternoon,2023-10-04,528,1.24,37
Line C,M-102,Afternoon,2023-10-04,269,3.92,25
Line C,M-104,Afternoon,2023-10-04,150,0.0,21
Line B,M-107,Morning,2023-10-04,361,0.14,79
Line D,M-107,Morning,2023-10-04,298,3.22,83
Line B,M-103,Afternoon,2023-10-04,252,4.4,78
Line C,M-107,Afternoon,2023-10-05,402,5.67,73
Line B,M-104,Morning,2023-10-05,286,1.35,48
Line B,M-100,Afternoon,2023-10-05,207,3.06,17
Line C,M-104,Night,2023-10-05,226,2.92,60
Line A,M-104,Night,2023-10-05,95,2.64,40
Line C,M-100,Morning,2023-10-05,296,6.25,3
Line A,M-103,Morning,2023-10-06,281,4.15,64
Line D,M-103,Night,2023-10-06,361,1.67,75
Line A,M-101,Afternoon,2023-10-06,339,0.0,18
Line A,M-106,Afternoon,2023-10-06,241,1.85,22
Line B,M-101,Morning,2023-10-06,198,2.16,30
Line A,M-103,Afternoon,2023-10-06,197,4.15,51
Line A,M-103,Night,2023-10-07,551,4.41,46
Line D,M-105,Morning,2023-10-07,359,4.23,77
Line C,M-100,Night,2023-10-07,293,5.43,27
Line A,M-104,Afternoon,2023-10-07,513,3.86,2
Line B,M-106,Afternoon,2023-10-07,567,0.76,59
Line D,M-106,Night,2023-10-07,99,4.31,25
Line B,M-102,Night,2023-10-08,384,1.39,22
Line A,M-100,Morning,2023-10-08,393,3.49,37
Line B,M-104,Afternoon,2023-10-08,176,2.41,23
Line A,M-103,Night,2023-10-08,103,3.09,58
Line A,M-100,Afternoon,2023-10-08,124,1.38,77
Line C,M-104,Afternoon,2023-10-08,596,1.06,19
Line B,M-100,Morning,2023-10-09,82,3.53,75
Line A,M-101,Morning,2023-10-09,106,1.05,25
Line C,M-100,Morning,2023-10-09,287,2.22,19
Line B,M-105,Night,2023-10-09,84,2.88,84
Line A,M-101,Afternoon,2023-10-09,491,4.93,9
Line D,M-103,Morning,2023-10-09,516,0.69,69
Line A,M-100,Morning,2023-10-10,157,5.26,3
Line B,M-105,Afternoon,2023-10-10,177,4.81,70
Line C,M-101,Morning,2023-10-10,136,4.11,72
Line C,M-101,Morning,2023-10-10,203,0.0,7
Line A,M-106,Night,2023-10-10,106,0.83,38
Line D,M-106,Afternoon,2023-10-10,583,4.58,26
Line A,M-105,Morning,2023-10-11,295,1.0,55
Line B,M-100,Night,2023-10-11,537,4.82,48
Line B,M-100,Night,2023-10-11,225,0.0,81
Line D,M-106,Morning,2023-10-11,295,2.87,51
Line C,M-106,Night,2023-10-11,123,3.72,78
Line A,M-105,Afternoon,2023-10-11,275,2.71,79
Line C,M-105,Night,2023-10-12,291,2.27,22
Line C,M-102,Night,2023-10-12,272,3.18,70
Line C,M-100,Afternoon,2023-10-12,159,1.42,83
Line B,M-103,Afternoon,2023-10-12,181,3.43,54
Line C,M-102,Morning,2023-10-12,508,2.35,51
Line A,M-100,Night,2023-10-12,450,2.77,22
Line D,M-100,Afternoon,2023-10-13,187,1.95,69
Line B,M-101,Night,2023-10-13,238,2.31,19
Line B,M-105,Afternoon,2023-10-13,265,3.06,10
Line C,M-101,Afternoon,2023-10-13,276,2.13,66
Line C,M-103,Afternoon,2023-10-13,536,0.71,15
Line B,M-103,Morning,2023-10-13,594,0.5,60
Line B,M-104,Morning,2023-10-14,418,2.14,87
Line C,M-106,Morning,2023-10-14,369,3.23,31
Line A,M-101,Morning,2023-10-14,274,2.65,21
Line B,M-100,Morning,2023-10-14,109,0.0,14
Line C,M-101,Afternoon,2023-10-14,224,1.84,34
Line C,M-104,Morning,2023-10-14,374,0.0,48
Line A,M-104,Night,2023-10-15,443,0.94,45
Line D,M-102,Morning,2023-10-15,451,4.32,46
Line A,M-100,Night,2023-10-15,345,1.69,34
Line B,M-106,Morning,2023-10-15,573,3.19,68
Line B,M-105,Afternoon,2023-10-15,188,2.67,20
Line B,M-104,Night,2023-10-15,555,2.29,77
Line A,M-106,Morning,2023-10-16,561,2.48,10
Line B,M-101,Morning,2023-10-16,321,0.39,34
Line A,M-104,Afternoon,2023-10-16,474,0.0,6
Line C,M-106,Afternoon,2023-10-16,393,2.51,6
Line A,M-105,Morning,2023-10-16,97,2.49,54
Line B,M-100,Night,2023-10-16,328,3.19,72
Line C,M-104,Morning,2023-10-17,572,4.33,82
Line A,M-101,Morning,2023-10-17,227,4.65,48
Line A,M-100,Night,2023-10-17,113,2.85,35
Line B,M-102,Afternoon,2023-10-17,246,1.36,14
Line B,M-105,Morning,2023-10-17,273,1.59,33
Line B,M-106,Morning,2023-10-17,598,6.09,15
Line A,M-106,Night,2023-10-18,235,3.97,40
Line A,M-103,Morning,2023-10-18,414,1.68,89
Line B,M-105,Morning,2023-10-18,430,3.19,28
Line B,M-101,Night,2023-10-18,506,0.0,51
Line A,M-104,Night,2023-10-18,442,0.51,27
Line C,M-101,Afternoon,2023-10-18,455,3.08,76
Line A,M-105,Afternoon,2023-10-19,180,2.02,71
Line D,M-102,Afternoon,2023-10-19,553,6.74,89
Line A,M-101,Morning,2023-10-19,585,2.12,73
Line B,M-103,Morning,2023-10-19,398,5.22,7
Line D,M-104,Afternoon,2023-10-19,332,2.5,33
Line A,M-106,Night,2023-10-19,362,1.38,4
Line A,M-107,Morning,2023-10-20,540,0.23,45
Line C,M-103,Afternoon,2023-10-20,460,1.8,52
Line B,M-100,Afternoon,2023-10-20,168,1.52,42
Line B,M-103,Night,2023-10-20,150,0.41,63
Line B,M-105,Night,2023-10-20,298,1.31,8
Line B,M-100,Morning,2023-10-20,388,0.0,52
Line A,M-104,Afternoon,2023-10-21,406,3.77,38
Line A,M-101,Morning,2023-10-21,218,4.63,22
Line D,M-101,Afternoon,2023-10-21,209,3.49,42
Line B,M-100,Morning,2023-10-21,560,2.14,70
Line B,M-105,Morning,2023-10-21,475,6.58,72
Line A,M-100,Afternoon,2023-10-21,205,2.53,86
Line A,M-105,Night,2023-10-22,514,4.1,20
Line C,M-107,Afternoon,2023-10-22,242,1.39,18
Line C,M-101,Afternoon,2023-10-22,159,1.66,24
Line B,M-100,Afternoon,2023-10-22,375,4.46,5
Line D,M-104,Morning,2023-10-22,424,1.12,50
Line D,M-106,Afternoon,2023-10-22,312,3.3,68
Line A,M-104,Afternoon,2023-10-23,97,3.42,81
Line B,M-101,Afternoon,2023-10-23,533,0.0,18
Line A,M-102,Night,2023-10-23,250,3.68,79
Line D,M-105,Morning,2023-10-23,264,1.86,89
Line B,M-104,Morning,2023-10-23,497,6.83,57
Line D,M-105,Morning,2023-10-23,571,2.69,89
Line A,M-102,Morning,2023-10-24,335,1.89,45
Line B,M-105,Night,2023-10-24,155,0.47,89
Line A,M-106,Night,2023-10-24,278,1.37,45
Line B,M-106,Afternoon,2023-10-24,187,4.7,2
Line C,M-102,Afternoon,2023-10-24,428,3.02,16
Line A,M-101,Night,2023-10-24,569,2.46,58
Line A,M-101,Night,2023-10-25,117,3.65,64
Line A,M-105,Afternoon,2023-10-25,414,1.3,33
Line A,M-105,Morning,2023-10-25,142,4.38,88
Line B,M-105,Morning,2023-10-25,382,1.82,12
Line D,M-101,Night,2023-10-25,427,4.42,75
Line B,M-107,Afternoon,2023-10-25,123,2.63,13
Line B,M-107,Night,2023-10-26,186,2.77,35
Line B,M-103,Afternoon,2023-10-26,407,2.4,6
Line B,M-101,Morning,2023-10-26,565,0.43,12
Line A,M-100,Morning,2023-10-26,306,2.96,61
Line A,M-103,Night,2023-10-26,318,5.14,40
Line D,M-104,Morning,2023-10-26,401,1.65,80
Line C,M-104,Afternoon,2023-10-27,590,1.22,17
Line C,M-101,Morning,2023-10-27,409,4.4,82
Line A,M-104,Afternoon,2023-10-27,255,3.06,15
Line B,M-102,Night,2023-10-27,545,0.65,2
Line B,M-104,Afternoon,2023-10-27,542,1.68,48
Line C,M-100,Morning,2023-10-27,304,4.35,28
Line B,M-101,Night,2023-10-28,539,5.6,22
Line B,M-101,Morning,2023-10-28,570,4.16,58
Line A,M-100,Afternoon,2023-10-28,267,0.86,63
Line A,M-105,Morning,2023-10-28,315,2.41,62
Line C,M-103,Night,2023-10-28,461,3.55,32
Line B,M-107,Morning,2023-10-28,274,2.77,44
Line B,M-106,Morning,2023-10-29,472,0.75,28
Line D,M-100,Morning,2023-10-29,233,1.83,89
Line D,M-100,Afternoon,2023-10-29,319,5.04,2
Line C,M-107,Afternoon,2023-10-29,479,0.69,82
Line D,M-104,Afternoon,2023-10-29,519,2.48,8
Line D,M-102,Morning,2023-10-29,236,3.9,16
Line B,M-100,Night,2023-10-30,510,0.0,88
Line C,M-101,Afternoon,2023-10-30,480,0.59,18
Line B,M-100,Morning,2023-10-30,406,1.58,58
Line A,M-102,Night,2023-10-30,198,3.91,20
Line B,M-106,Morning,2023-10-30,395,0.0,40
Line A,M-107,Morning,2023-10-30,374,4.33,81
Line B,M-105,Night,2023-10-31,189,3.18,80
Line A,M-105,Morning,2023-10-31,569,3.92,12
Line D,M-100,Afternoon,2023-10-31,399,2.46,88
Line D,M-106,Afternoon,2023-10-31,301,2.78,38
Line C,M-102,Afternoon,2023-10-31,247,3.59,25
Line C,M-100,Night,2023-10-31,266,4.66,67
Line B,M-105,Morning,2023-11-01,406,1.92,33
Line A,M-101,Morning,2023-11-01,529,0.0,48
Line B,M-102,Morning,2023-11-01,405,5.97,59
Line B,M-104,Morning,2023-11-01,595,1.55,15
Line C,M-102,Afternoon,2023-11-01,312,3.34,67
Line B,M-104,Afternoon,2023-11-01,465,2.3,23
Line C,M-107,Night,2023-11-02,320,4.65,49
Line B,M-104,Morning,2023-11-02,477,6.79,48
Line C,M-102,Afternoon,2023-11-02,170,3.11,30
Line C,M-103,Afternoon,2023-11-02,536,5.57,38
Line B,M-107,Morning,2023-11-02,449,1.55,40
Line A,M-102,Afternoon,2023-11-02,509,1.44,36
Line A,M-106,Afternoon,2023-11-03,559,4.29,67
Line D,M-101,Night,2023-11-03,532,2.6,63
Line B,M-100,Afternoon,2023-11-03,429,0.0,46
Line A,M-104,Morning,2023-11-03,160,2.12,24
Line A,M-105,Morning,2023-11-03,323,2.91,22
Line B,M-102,Night,2023-11-03,405,3.09,60
Line C,M-100,Afternoon,2023-11-04,205,5.69,10
Line A,M-101,Afternoon,2023-11-04,382,0.08,30
Line D,M-105,Afternoon,2023-11-04,223,2.07,20
Line C,M-107,Afternoon,2023-11-04,247,5.28,56
Line A,M-102,Night,2023-11-04,301,1.61,58
Line A,M-102,Afternoon,2023-11-04,187,1.29,89
Line A,M-102,Afternoon,2023-11-05,167,0.33,6
Line B,M-104,Afternoon,2023-11-05,325,1.69,42
Line A,M-106,Morning,2023-11-05,492,0.0,24
Line C,M-107,Morning,2023-11-05,276,2.34,59
Line C,M-104,Afternoon,2023-11-05,104,0.0,68
Line D,M-106,Night,2023-11-05,313,3.64,23
Line C,M-105,Afternoon,2023-11-06,525,1.58,53
Line B,M-102,Afternoon,2023-11-06,390,3.21,89
Line B,M-104,Afternoon,2023-11-06,320,5.15,9
Line A,M-103,Night,2023-11-06,365,3.38,43
Line C,M-103,Night,2023-11-06,107,5.17,24
Line A,M-103,Afternoon,2023-11-06,552,0.0,46
Line C,M-102,Morning,2023-11-07,97,0.6,58
Line C,M-100,Morning,2023-11-07,509,0.41,38
Line D,M-103,Morning,2023-11-07,275,2.48,18
Line A,M-106,Afternoon,2023-11-07,384,0.74,81
Line A,M-102,Afternoon,2023-11-07,530,2.28,63
Line B,M-103,Night,2023-11-07,497,1.16,46
Line C,M-102,Night,2023-11-08,312,2.14,89
Line B,M-106,Afternoon,2023-11-08,451,0.59,46
Line B,M-107,Afternoon,2023-11-08,129,3.06,36
Line B,M-106,Night,2023-11-08,146,2.35,86
Line C,M-107,Afternoon,2023-11-08,466,0.0,57
Line C,M-107,Morning,2023-11-08,142,4.67,29
Line C,M-100,Night,2023-11-09,387,0.0,38
Line B,M-105,Afternoon,2023-11-09,92,2.01,7
Line A,M-101,Afternoon,2023-11-09,131,3.16,67
Line D,M-103,Afternoon,2023-11-09,595,5.6,63
Line A,M-107,Morning,2023-11-09,191,5.27,40
Line A,M-105,Night,2023-11-09,170,0.0,5
Line D,M-102,Night,2023-11-10,100,2.56,66
Line C,M-106,Afternoon,2023-11-10,262,4.72,15
Line B,M-102,Morning,2023-11-10,472,4.47,86
Line D,M-106,Night,2023-11-10,148,2.44,7
Line C,M-104,Night,2023-11-10,346,2.18,3
Line C,M-102,Afternoon,2023-11-10,230,6.23,4
Line B,M-103,Morning,2023-11-11,438,0.0,86
Line A,M-107,Morning,2023-11-11,452,0.5,18
Line A,M-107,Afternoon,2023-11-11,344,4.32,1
Line A,M-105,Night,2023-11-11,452,2.65,2
Line A,M-102,Night,2023-11-11,235,1.21,86
Line C,M-106,Morning,2023-11-11,313,2.55,9
Line B,M-100,Afternoon,2023-11-12,491,4.45,79
Line B,M-106,Afternoon,2023-11-12,103,2.38,0
Line C,M-106,Afternoon,2023-11-12,160,0.49,77
Line A,M-104,Afternoon,2023-11-12,488,4.56,29
Line D,M-103,Morning,2023-11-12,580,0.78,35
Line A,M-105,Morning,2023-11-12,105,1.57,85
Line B,M-106,Afternoon,2023-11-13,337,0.13,8
Line B,M-105,Night,2023-11-13,501,2.37,47
Line C,M-104,Night,2023-11-13,225,1.04,47
Line B,M-103,Morning,2023-11-13,138,0.0,49
Line C,M-102,Night,2023-11-13,391,1.66,33
Line D,M-101,Afternoon,2023-11-13,267,0.22,85
Line C,M-106,Afternoon,2023-11-14,114,2.82,41
Line A,M-102,Morning,2023-11-14,533,0.87,62
Line B,M-107,Night,2023-11-14,112,6.51,89
Line D,M-100,Morning,2023-11-14,327,4.5,46
Line D,M-107,Morning,2023-11-14,420,1.59,60
Line D,M-103,Morning,2023-11-14,115,6.09,32
Line C,M-107,Morning,2023-11-15,503,3.36,34
Line B,M-103,Afternoon,2023-11-15,123,0.0,31
Line D,M-104,Afternoon,2023-11-15,443,1.16,41
Line A,M-105,Morning,2023-11-15,298,0.68,77
Line A,M-100,Morning,2023-11-15,587,4.29,40
Line D,M-103,Morning,2023-11-15,414,0.64,48
Line B,M-100,Night,2023-11-16,460,2.59,74
Line B,M-106,Night,2023-11-16,278,3.29,69
Line A,M-100,Afternoon,2023-11-16,358,2.29,29
Line B,M-106,Night,2023-11-16,434,5.91,25
Line C,M-100,Afternoon,2023-11-16,309,3.19,76
Line A,M-106,Night,2023-11-16,108,0.24,59
Line A,M-102,Night,2023-11-17,516,4.52,38
